instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
tsp_n40_4,40,3,nn,5,20,6,10,547.949,499.918,8097623,921,404877,0.00119499,10
tsp_n40_4,40,4,nn,5,20,6,10,621.166,499.918,7819499,686,390971,0.00101669,10
tsp_n40_4,40,5,nn,5,20,6,10,539.289,499.918,7484586,79,374228,0.000105241,10
tsp_n40_5,40,1,nn,5,20,6,10,622.492,516.876,8243227,6,412161,1.8456e-05,10
tsp_n40_5,40,2,nn,5,20,6,10,641.361,516.876,7856430,67,392820,8.8488e-05,10
tsp_n40_5,40,3,nn,5,20,6,10,681.255,516.876,7331504,40,366574,5.9643e-05,10
tsp_n40_5,40,4,nn,5,20,6,10,611.22,516.876,8077034,79,403850,0.000126642,10
tsp_n40_5,40,5,nn,5,20,6,10,630.098,516.876,8065550,5,403277,1.6902e-05,10
tsp_n50_1,50,1,nn,6,25,6,10,713.138,554.786,6061890,597,242471,0.00104285,10
tsp_n50_1,50,2,nn,6,25,6,10,652.966,554.786,6230273,1625,249206,0.00277345,10
tsp_n50_1,50,3,nn,6,25,6,10,786.091,554.786,5033354,636,201329,0.00100325,10
tsp_n50_1,50,4,nn,6,25,6,10,652.966,554.786,4968962,48,198757,9.927e-05,10
tsp_n50_1,50,5,nn,6,25,6,10,753.67,554.786,5206204,130,208246,0.00023609,10
tsp_n50_2,50,1,nn,6,25,6,10,643.476,554.522,4933292,5810,197327,0.0111543,10
tsp_n50_2,50,2,nn,6,25,6,10,634.984,554.522,5687279,1973,227488,0.00386009,10
tsp_n50_2,50,3,nn,6,25,6,10,663.385,554.522,6100701,256,244024,0.000406135,10
tsp_n50_2,50,4,nn,6,25,6,10,651.389,554.522,6123343,2277,244930,0.00350003,10
tsp_n50_2,50,5,nn,6,25,6,10,657.559,554.522,6293312,3115,251727,0.0049901,10
tsp_n50_3,50,1,nn,6,25,6,10,662.078,571.892,6239985,929,249595,0.00146842,10
tsp_n50_3,50,2,nn,6,25,6,10,678.564,571.892,6191044,255,247638,0.000400174,10
tsp_n50_3,50,3,nn,6,25,6,10,691.463,571.892,6234718,806,249383,0.00128742,10
tsp_n50_3,50,4,nn,6,25,6,10,666.41,571.892,6091422,676,243651,0.00114594,10
tsp_n50_3,50,5,nn,6,25,6,10,751.147,571.892,6123652,258,244942,0.000411446,10
tsp_n50_4,50,1,nn,6,25,6,10,734.155,614.12,6147762,526,245907,0.000864522,10
tsp_n50_4,50,2,nn,6,25,6,10,773.303,614.12,6283785,11,251350,3.139e-05,10
tsp_n50_4,50,3,nn,6,25,6,10,748.495,614.12,6099180,741,243963,0.00115958,10
tsp_n50_4,50,4,nn,6,25,6,10,803.349,614.12,6188526,998,247537,0.00155349,10
tsp_n50_4,50,5,nn,6,25,6,10,738.136,614.12,6186401,396,247454,0.000778277,10
tsp_n50_5,50,1,nn,6,25,6,10,696.604,585.158,6275238,1942,251006,0.00293502,10
tsp_n50_5,50,2,nn,6,25,6,10,754.82,585.158,6216179,395,248644,0.000656334,10
tsp_n50_5,50,3,nn,6,25,6,10,714.856,585.158,6066662,441,242663,0.000747078,10
tsp_n50_5,50,4,nn,6,25,6,10,677.401,585.158,6098167,1429,243924,0.00220052,10
tsp_n50_5,50,5,nn,6,25,6,10,674.94,585.158,6064404,2649,242574,0.00459174,10
tsp_n60_1,60,1,nn,7,30,6,10,714.958,593.45,4081342,3382,136041,0.00719379,10
tsp_n60_1,60,2,nn,7,30,6,10,755.041,593.45,4302031,562,143397,0.00124644,10
tsp_n60_1,60,3,nn,7,30,6,10,742.197,593.45,4337495,5149,144579,0.0116767,10
tsp_n60_1,60,4,nn,7,30,6,10,670.68,593.45,4265240,656,142171,0.00163884,10
tsp_n60_1,60,5,nn,7,30,6,10,748.495,593.45,4179076,597,139298,0.00135505,10
tsp_n60_2,60,1,nn,7,30,6,10,731.843,646.976,4432254,2872,147738,0.00635418,10
tsp_n60_2,60,2,nn,7,30,6,10,829.001,646.976,4330414,7599,144339,0.0164559,10
tsp_n60_2,60,3,nn,7,30,6,10,752.981,646.976,4270681,2343,142351,0.00505689,10
tsp_n60_2,60,4,nn,7,30,6,10,757.447,646.976,4476897,2846,149224,0.00624289,10
tsp_n60_2,60,5,nn,7,30,6,10,784.82,646.976,4330952,1179,144360,0.00285219,10
tsp_n60_3,60,1,nn,7,30,6,10,802.41,588.516,4374222,727,145806,0.00165479,10
tsp_n60_3,60,2,nn,7,30,6,10,693.364,588.516,4421338,291,147374,0.000646357,10
tsp_n60_3,60,3,nn,7,30,6,10,690.372,588.516,4377271,1232,145905,0.00274712,10
tsp_n60_3,60,4,nn,7,30,6,10,684.043,588.516,4541941,1274,151395,0.00293963,10
tsp_n60_3,60,5,nn,7,30,6,10,762.666,588.516,4300005,597,143329,0.00137301,10
tsp_n60_4,60,1,nn,7,30,6,10,696.665,630.4,4326481,2341,144213,0.00503507,10
tsp_n60_4,60,2,nn,7,30,6,10,750.176,630.4,4402990,1865,146763,0.00405896,10
tsp_n60_4,60,3,nn,7,30,6,10,719.263,630.4,4294102,602,143134,0.00136472,10
tsp_n60_4,60,4,nn,7,30,6,10,771.002,630.4,4093573,2061,136446,0.0054449,10
tsp_n60_4,60,5,nn,7,30,6,10,708.524,630.4,3992233,1158,133071,0.00276788,10
tsp_n60_5,60,1,nn,7,30,6,10,698.786,606.853,4395714,244,146521,0.000560112,10
tsp_n60_5,60,2,nn,7,30,6,10,697.301,606.853,4217161,131,140570,0.000446966,10
tsp_n60_5,60,3,nn,7,30,6,10,713.24,606.853,4391581,472,146383,0.00105102,10
tsp_n60_5,60,4,nn,7,30,6,10,738.409,606.853,4268744,1234,142286,0.00282655,10
tsp_n60_5,60,5,nn,7,30,6,10,745.499,606.853,4350613,687,145019,0.00149189,10
tsp_n70_1,70,1,nn,8,35,6,10,887.909,655.214,3255911,10481,93021,0.0312508,10
tsp_n70_1,70,2,nn,8,35,6,10,900.415,655.214,3153980,17099,90108,0.0510301,10
tsp_n70_1,70,3,nn,8,35,6,10,856.018,655.214,3139186,14277,89685,0.0419027,10
tsp_n70_1,70,4,nn,8,35,6,10,796.362,655.214,3146728,955,89903,0.0028519,10
tsp_n70_1,70,5,nn,8,35,6,10,850.113,655.214,3195243,302,91290,0.00111046,10
