config,instance,n,seed,init,tenure,max_no_improve,kick,time_limit,init_cost,best_cost,iterations,best_iter,perturbations,time_to_best,total_s
kick6,calib_n30_2,30,2,nn,5,30,6,1000,533.841,447.548,50000,291,1664,0.000590549,0.096922
kick6,calib_n30_2,30,3,nn,5,30,6,1000,583.304,447.548,50000,545,1665,0.00137503,0.091238
kick6,calib_n30_2,30,4,nn,5,30,6,1000,590.283,447.548,50000,9,1666,3.7172e-05,0.0909289
kick6,calib_n30_2,30,5,nn,5,30,6,1000,608.714,447.548,50000,15,1666,4.9857e-05,0.089753
kick6,calib_n50_1,50,1,nn,6,50,6,1000,653.039,550.734,50000,474,998,0.0021346,0.252057
kick6,calib_n50_1,50,2,nn,6,50,6,1000,639.744,550.734,50000,177,999,0.000871221,0.260074
kick6,calib_n50_1,50,3,nn,6,50,6,1000,659.377,550.734,50000,726,998,0.00331656,0.24083
kick6,calib_n50_1,50,4,nn,6,50,6,1000,687.78,550.734,50000,9,999,8.7699e-05,0.243595
kick6,calib_n50_1,50,5,nn,6,50,6,1000,699.886,550.734,50000,15,999,0.000103139,0.253136
kick6,calib_n50_2,50,1,nn,6,50,6,1000,685.943,590.914,50000,811,997,0.00481129,0.264816
kick6,calib_n50_2,50,2,nn,6,50,6,1000,749.45,590.914,50000,2136,996,0.00982127,0.238325
kick6,calib_n50_2,50,3,nn,6,50,6,1000,765.949,590.914,50000,4448,999,0.021692,0.249112
kick6,calib_n50_2,50,4,nn,6,50,6,1000,730.848,590.914,50000,3404,996,0.0161037,0.245194
kick6,calib_n50_2,50,5,nn,6,50,6,1000,777.571,590.914,50000,2435,997,0.0126166,0.229035
kick6,calib_n70_1,70,1,nn,8,70,6,1000,773.892,638.962,50000,1214,712,0.0115195,0.467509
kick6,calib_n70_1,70,2,nn,8,70,6,1000,737.485,638.962,50000,3337,712,0.0324668,0.464821
kick6,calib_n70_1,70,3,nn,8,70,6,1000,832.582,638.962,50000,898,712,0.00896227,0.462732
kick6,calib_n70_1,70,4,nn,8,70,6,1000,808.48,638.962,50000,1986,712,0.0181293,0.455088
kick6,calib_n70_1,70,5,nn,8,70,6,1000,741.91,638.962,50000,1011,712,0.00973472,0.431786
kick6,calib_n70_2,70,1,nn,8,70,6,1000,779.269,656.37,50000,21012,711,0.170716,0.404965
kick6,calib_n70_2,70,2,nn,8,70,6,1000,766.936,656.37,50000,1854,712,0.0179252,0.436187
kick6,calib_n70_2,70,3,nn,8,70,6,1000,781.374,656.37,50000,9953,711,0.0849301,0.454728
kick6,calib_n70_2,70,4,nn,8,70,6,1000,737.249,656.37,50000,943,712,0.0138197,0.406444
kick6,calib_n70_2,70,5,nn,8,70,6,1000,786.138,656.37,50000,8775,712,0.0777654,0.454216
wait0.5,calib_n100_1,100,1,nn,12,50,6,1000,985.693,743.104,50000,26428,992,0.4829,0.917465
wait0.5,calib_n100_1,100,2,nn,12,50,6,1000,960.815,743.104,50000,2370,996,0.0442097,0.918821
wait0.5,calib_n100_1,100,3,nn,12,50,6,1000,900.617,743.104,50000,9375,990,0.178662,0.906726
wait0.5,calib_n100_1,100,4,nn,12,50,6,1000,883.571,743.104,50000,11185,995,0.210312,0.865676
wait0.5,calib_n100_1,100,5,nn,12,50,6,1000,918.387,743.104,50000,20911,996,0.422639,0.972799
wait0.5,calib_n100_2,100,1,nn,12,50,6,1000,955.549,763.385,50000,34707,993,0.545744,0.756501
wait0.5,calib_n100_2,100,2,nn,12,50,6,1000,909.951,763.385,50000,18133,996,0.188024,0.531965
wait0.5,calib_n100_2,100,3,nn,12,50,6,1000,963.367,763.385,50000,15765,993,0.167783,0.750265
wait0.5,calib_n100_2,100,4,nn,12,50,6,1000,950.285,763.385,50000,25560,994,0.426425,0.85227
wait0.5,calib_n100_2,100,5,nn,12,50,6,1000,954.385,763.385,50000,23101,994,0.395927,0.847354
wait0.5,calib_n30_1,30,1,nn,5,15,6,1000,479.789,426.328,50000,13,3332,5.9554e-05,0.0945483
wait0.5,calib_n30_1,30,2,nn,5,15,6,1000,534.036,426.328,50000,7,3332,3.8183e-05,0.0930099
wait0.5,calib_n30_1,30,3,nn,5,15,6,1000,568.188,426.328,50000,11,3332,3.2934e-05,0.0823472
wait0.5,calib_n30_1,30,4,nn,5,15,6,1000,533.271,426.328,50000,81,3330,0.000143738,0.0819914
